Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2025-04-08 20:18:58,2025-04-09 11:58:22,Shop,-13.27,0.00,EUR,COMPLETED,19.79
CARD_PAYMENT,Current,2025-04-09 20:10:58,2025-04-10 11:20:22,Shop,-5.46,0.00,EUR,COMPLETED,-15.30
